id,header,new_category GT,Act GT,box_index,label,topic,insight,quotes,insight_GT,url_link
12627,Margarita's Colorful Adventures Celebrate Individuality and Resilience,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/02/3198237/0/en/Margarita-s-Colorful-Adventures-Celebrate-Individuality-and-Resilience.html
12638,Brett Bowers' Journey: Thriving in a World of Outgoing Talkers with His Golden Retriever,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/02/3198391/0/en/Brett-Bowers-Journey-Thriving-in-a-World-of-Outgoing-Talkers-with-His-Golden-Retriever.html
12558,"Userful Wins TITAN Platinum Business Award for SaaS Excellence, Underscoring Its Leadership in Critical Operational Infrastructure",conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/01/3196785/0/en/Userful-Wins-TITAN-Platinum-Business-Award-for-SaaS-Excellence-Underscoring-Its-Leadership-in-Critical-Operational-Infrastructure.html
16032,Micron Shareholders Received Amazing News at a Recent Investor Conference | The Motley Fool,market speculation,NO,,,(no insights extracted),,,,https://www.fool.com/investing/2026/02/19/micron-shareholders-received-amazing-news-at-a-rec/?source=iedfolrf0000001
18516,World’s Top Data Technology Innovators Honored in 7th Annual Data Breakthrough Awards Program,conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2026/04/16/3275509/0/en/World-s-Top-Data-Technology-Innovators-Honored-in-7th-Annual-Data-Breakthrough-Awards-Program.html
14682,KraneShares Cross-Lists KOID Humanoid Robotics ETF on Deutsche Börse Xetra Under Ticker KBOT,news-event,YES,0,informative,ETF cross-listing on Xetra,"KraneShares has cross-listed its Global Humanoid & Embodied Intelligence Index UCITS ETF on Deutsche Börse Xetra under the ticker KBOT, providing German investors access to the humanoid robotics and embodied intelligence ecosystem.","KraneShares, a global asset manager known for its innovative exchange-traded funds (ETFs), announced the cross-listing of the KraneShares Global Humanoid & Embodied Intelligence Index UCITS ETF on Deutsche Börse Xetra, where it will trade under the ticker KBOT.
The Xetra listing brings to German investors the same globally recognized strategy known under the ticker KOID, which is already listed on Nasdaq, the London Stock Exchange, and Borsa Italiana.",informative,https://www.globenewswire.com/news-release/2026/01/23/3224437/0/en/KraneShares-Cross-Lists-KOID-Humanoid-Robotics-ETF-on-Deutsche-B%C3%B6rse-Xetra-Under-Ticker-KBOT.html
8134,Microsoft Highlights Gieni AI as Vertical AI Reference at Build 2025,conference-PR,NO,0,informative,Gieni AI featured at Microsoft Build,"Orderfox's Gieni AI platform was highlighted at Microsoft Build 2025 as a reference case for vertical AI integration, demonstrating Microsoft's new Model Context Protocol (MCP). This integration allows Gieni AI to provide market intelligence directly within Microsoft 365 tools.","Orderfox Schweiz AG announced that its market intelligence platform, Gieni AI, was featured as a reference case for vertical AI integration at Microsoft Build 2025.
The platform was selected to demonstrate Microsoft’s new Model Context Protocol (MCP), which allows AI agents to access and interact with other agents and software tools in real time.
During the Microsoft Build conference, Gieni AI was featured by Microsoft as a reference point for vertical AI integration, highlighting its role within the new Model Context Protocol (MCP) framework.",DROP,https://www.globenewswire.com/news-release/2025/08/06/3127996/0/en/Microsoft-Highlights-Gieni-AI-as-Vertical-AI-Reference-at-Build-2025.html
8134,Microsoft Highlights Gieni AI as Vertical AI Reference at Build 2025,conference-PR,NO,1,informative,Gieni AI on Microsoft Marketplace,"Gieni AI is now available as one of the first vertical AI agents with an MCP Connector on the Microsoft Marketplace for Copilot Studio, enabling it to deliver market, competition, and risk intelligence within Microsoft 365 applications.","Gieni AI is among the first vertical AI agents that offer a MCP Connector on the Microsoft Marketplace for Copilot Studio.
It delivers market, competition, and risk intelligence that will be directly in Microsoft 365 tools such as Teams, Outlook, Excel, and Word.",DROP,https://www.globenewswire.com/news-release/2025/08/06/3127996/0/en/Microsoft-Highlights-Gieni-AI-as-Vertical-AI-Reference-at-Build-2025.html
6195,"""Human vs AI"" and the Future of Insurance: Insurtech Insights USA 2025 Agenda Unveils Power-Packed Lineup of Industry Disruptors",conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/05/28/3089754/0/en/Human-vs-AI-and-the-Future-of-Insurance-Insurtech-Insights-USA-2025-Agenda-Unveils-Power-Packed-Lineup-of-Industry-Disruptors.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,0,informative,New laser platform launch,"IPG Photonics is launching a new YLS-RI fiber laser platform with an improved internal architecture, next-generation pump diodes, increased reliability, and a more compact design, aimed at improving performance and power-to-volume ratio for cutting applications.","IPG will present their new YLS-RI fiber laser platform built with an improved internal architecture to maximize performance and ease of integration.
this new high-power laser platform features next-generation pump diodes, increased reliability and optical stability, and a more compact design.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,1,informative,Quantum computing laser solutions,"IPG Photonics is developing and providing linearly polarized single-frequency laser sources and amplifiers specifically for quantum computing, working directly with key industry players.","IPG will also bring linearly polarized single-frequency laser sources and amplifiers purpose-built for quantum computing.
The company is currently working directly with key players in the quantum computing space to provide advanced laser solutions tailored to their specific requirements.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,2,informative,Adjustable Mode Beam laser for welding,IPG Photonics is showcasing a new Adjustable Mode Beam (AMB) dual-beam laser integrated into a welding solution designed to reduce weld defects and improve weld quality and speed.,"IPG will showcase a new Adjustable Mode Beam (AMB) laser.
This dual-beam laser innovation will be presented as part of an integrated laser welding solution.
The solution utilizes AMB technology to virtually eliminate weld defects like spatter and porosity while integrated scanning optics and real-time weld measurement provide fast welding speeds and unmatched weld quality assurance.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,3,informative,Expanded laser cleaning offering,"Following the acquisition of cleanLASER, IPG Photonics is expanding its laser cleaning solutions, highlighting nanosecond lasers for cleaning applications and showcasing processed samples.","With the recent acquisition of cleanLASER, IPG has further expanded the breadth and depth of their laser cleaning offering.
Representing part of a diverse array of laser cleaning solutions, IPG will bring nanosecond lasers ideally suited for cleaning applications.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,4,informative,Micro-machining laser innovations,"IPG Photonics is displaying a range of lasers and technologies for micro-machining, including nanosecond and ultrafast lasers across various wavelengths, and lasers with increased average power for productivity.","IPG will display lasers and laser technology for micro-machining applications including nanosecond and ultrafast lasers spanning wavelengths from infrared to green and deep UV.
The company will also bring nanosecond lasers with acousto-optic modulation for high-quality grayscale marking as well as green nanosecond and infrared picosecond lasers with increased average power for greater productivity in applications like solar cell scribing.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2766,O Tecnológico de Monterrey Cria Uma Rede Global e Compartilha Sua Plataforma TECgpt Para Promover a Adoção da IA na Educação,conference-PR,NO,0,informative,AI Education Network Launch,"Tecnológico de Monterrey launched the AI Global Education Network (AIGEN) and is sharing its TECgpt AI platform with universities worldwide, starting with a pilot program in 10 institutions.","Para impulsionar a adoção da IA no ensino superior, o Tecnológico de Monterrey anunciou a criação da AI Global Education Network (AIGEN) e disponibilizou o TECgpt, seu ecossistema de IA generativa, para as universidades.
Fung detalhou que a AIGEN conduzirá um programa piloto para implementar uma plataforma com os recursos do TECgpt em 10 universidades.
Nossa aspiração é estender o valor do TECgpt além do Tecnológico de Monterrey para as universidades do mundo todo”, concluiu Abarca.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017531/0/pt/O-Tecnol%C3%B3gico-de-Monterrey-Cria-Uma-Rede-Global-e-Compartilha-Sua-Plataforma-TECgpt-Para-Promover-a-Ado%C3%A7%C3%A3o-da-IA-na-Educa%C3%A7%C3%A3o.html
2766,O Tecnológico de Monterrey Cria Uma Rede Global e Compartilha Sua Plataforma TECgpt Para Promover a Adoção da IA na Educação,conference-PR,NO,1,informative,TECgpt Usage Metrics,"Since its launch in September 2023, Tecnológico de Monterrey's TECgpt platform has been used by over 14,000 users, with its virtual assistant TECbot engaging over 81,000 users.","Desde o seu lançamento, o TECgpt alimentou soluções para mais de 14.000 usuários, enquanto o seu assistente virtual, o TECbot, se envolveu com mais de 81.000 usuários.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017531/0/pt/O-Tecnol%C3%B3gico-de-Monterrey-Cria-Uma-Rede-Global-e-Compartilha-Sua-Plataforma-TECgpt-Para-Promover-a-Ado%C3%A7%C3%A3o-da-IA-na-Educa%C3%A7%C3%A3o.html
10266,BizClik Releases October 2025 Sustainability Portfolio Editions,conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/10/07/3162894/0/en/BizClik-Releases-October-2025-Sustainability-Portfolio-Editions.html
15999,AssureSoft Joins the 2026 IAOP Global Outsourcing 100® List of the World’s Leading Providers,conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2026/02/19/3241150/0/en/AssureSoft-Joins-the-2026-IAOP-Global-Outsourcing-100-List-of-the-World-s-Leading-Providers.html
4612,"Law Offices of Frank R. Cruz Encourages Ultra Clean Holdings, Inc. (UCTT) Investors To Inquire About Secu",legal-call,NO,0,evidance-event,Ultra Clean Holdings financial results,"Ultra Clean Holdings reported financial results and disclosed ""demand softness"" due to extended qualification timelines and inventory digestion, causing its stock price to fall 28.2%. This is a bearish event.","On February 24, 2025, Ultra Clean reported its financial results for the fourth quarter and full year ended December 27, 2024.
In connection with its earnings, the Company revealed that it was facing ""demand softness"" in its business ""relat[ed] to extended qualification time lines and some inventory digestion.
On this news, Ultra Clean's stock price fell $10.16, or 28.2%, to close at $25.90 per share on February 25, 2025, thereby injuring investors.",evidance-event,https://www.benzinga.com/pressreleases/25/04/b44590157/law-offices-of-frank-r-cruz-encourages-ultra-clean-holdings-inc-uctt-investors-to-inquire-about-se
4897,"SOUN INVESTOR ALERT: Robbins Geller Rudman & Dowd LLP Announces that SoundHound AI, Inc. Investors with Substantial Losses Have Opportunity to Lead Investor Class Action Lawsuit",legal-call,NO,0,evidance-event,Lawsuit filed over financial reporting,"A class action lawsuit has been filed against SoundHound AI, Inc. alleging false and misleading statements regarding internal controls and financial reporting, particularly concerning acquisitions. This led to a nearly 6% stock price drop.","The SoundHound class action lawsuit further alleges that on March 4, 2025, SoundHound disclosed that it would be unable to timely file its annual report for 2024, stating that “[d]ue to the complexity of accounting for [the SYNQ3 and Amelia acquisitions], the Company require[d] additional time to prepare financial statements and the accompanying notes” and that SoundHound “ha[d] identified material weaknesses in its internal control over financial reporting.
On this news, the price of SoundHound stock fell nearly 6%, according to the complaint.",evidance-event,https://www.globenewswire.com/news-release/2025/04/12/3060397/0/en/SOUN-INVESTOR-ALERT-Robbins-Geller-Rudman-Dowd-LLP-Announces-that-SoundHound-AI-Inc-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Investor-Class-Action-Lawsuit.html
4897,"SOUN INVESTOR ALERT: Robbins Geller Rudman & Dowd LLP Announces that SoundHound AI, Inc. Investors with Substantial Losses Have Opportunity to Lead Investor Class Action Lawsuit",legal-call,NO,1,informative,Class action lead plaintiff opportunity,"Investors who purchased SoundHound AI, Inc. securities between May 10, 2024, and March 3, 2025, have an opportunity to lead an investor class action lawsuit, with a deadline of May 27, 2025.","Robbins Geller Rudman & Dowd LLP announces that purchasers or acquirers of SoundHound AI, Inc. (NASDAQ: SOUN) securities between May 10, 2024 and March 3, 2025, inclusive (the “Class Period”), have until May 27, 2025 to seek appointment as lead plaintiff of the SoundHound class action lawsuit.",DROP,https://www.globenewswire.com/news-release/2025/04/12/3060397/0/en/SOUN-INVESTOR-ALERT-Robbins-Geller-Rudman-Dowd-LLP-Announces-that-SoundHound-AI-Inc-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Investor-Class-Action-Lawsuit.html
168,IREN Investors Have Opportunity to Lead Iris Energy Limited Securities Fraud Lawsuit with the Schall Law,legal-call,NO,,,(no insights extracted),,,,https://www.benzinga.com/pressreleases/24/11/n41717862/iren-investors-have-opportunity-to-lead-iris-energy-limited-securities-fraud-lawsuit-with-the-scha
18883,"Bronstein, Gewirtz & Grossman LLC Urges Super Micro Computer, Inc. Investors to Act: Class Action Filed Alleging Investor Harm",legal-event,YES,0,evidance-event,Class action lawsuit filed,"A class action lawsuit has been filed against Super Micro Computer, Inc. and certain officers, alleging violations of federal securities laws related to undisclosed sales to China and non-compliance with U.S. export control laws.","The complaint alleges that throughout the Class Period, Defendants failed to disclose to investors that:
(1) a significant portion of the Company’s sales of servers were to companies based in China;
(2) these transactions violated U.S. export control laws;
(3) there were material weaknesses in the Company’s controls to ensure compliance with applicable export control laws and regulations; and
(4) that, as a result of the foregoing, Defendants’ positive statements about the Company’s business, operations, and prospects were materially misleading and/or lacked a reasonable basis.",evidance-event,https://www.globenewswire.com/news-release/2026/04/24/3280961/9788/en/Bronstein-Gewirtz-Grossman-LLC-Urges-Super-Micro-Computer-Inc-Investors-to-Act-Class-Action-Filed-Alleging-Investor-Harm.html
1195,"AEHR Investors Have Opportunity to Lead Aehr Test Systems, Inc. Securities Fraud Lawsuit with the Schall",legal-call,NO,,,(no insights extracted),,,,https://www.benzinga.com/pressreleases/24/12/n42391860/aehr-investors-have-opportunity-to-lead-aehr-test-systems-inc-securities-fraud-lawsuit-with-the-sc
3550,"MU INVESTOR ALERT: Bronstein, Gewirtz & Grossman LLC Announces that Micron Technology, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit",legal-event,YES,0,evidance-event,Micron class action lawsuit filed,"A class action lawsuit has been filed against Micron Technology, Inc. and certain officers, alleging materially false and misleading statements regarding the company's business, operations, and prospects, specifically concerning demand for its products in consumer markets and NAND products. This is a bearish event for the company.","A class action lawsuit has already been filed.
The Complaint alleges that the Defendants made materially false and misleading statements regarding the Company's business, operations, and prospects.
Specifically, the Complaint alleges that Defendants made false and/or misleading statements and/or failed to disclose that: (1) demand for Micron's products in consumer markets, especially the Company's NAND products, had significantly deteriorated; (2) accordingly, Defendants had overstated the extent to which demand for Micron's products had recovered, particularly in consumer markets and for its NAND products, and/or had overstated the sustainability of demand for such products, as well as the normalization of inventory for such products; and (3) as a result, the Company's public statements were materially false and misleading at all relevant times.",evidance-event,https://www.globenewswire.com/news-release/2025/02/23/3030829/9788/en/MU-INVESTOR-ALERT-Bronstein-Gewirtz-Grossman-LLC-Announces-that-Micron-Technology-Inc-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Class-Action-Lawsuit.html
3125,"ROSEN, HIGHLY RECOGNIZED INVESTOR COUNSEL, Encourages Micron Technology, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action – MU",legal-call,NO,0,evidance-event,Securities Class Action Lawsuit Filed,"A securities class action lawsuit has been filed against Micron Technology, Inc. alleging that defendants made false and misleading statements regarding product demand and inventory levels, potentially causing investor damages.","A class action lawsuit has already been filed.
When the true details entered the market, the lawsuit claims that investors suffered damages.",evidance-event,https://www.globenewswire.com/news-release/2025/02/09/3023126/673/en/ROSEN-HIGHLY-RECOGNIZED-INVESTOR-COUNSEL-Encourages-Micron-Technology-Inc-Investors-to-Secure-Counsel-Before-Important-Deadline-in-Securities-Class-Action-MU.html
5397,"DEADLINE ALERT for SOUN, BKKT, ECG, VTRS: Law Offices of Howard G. Smith Reminds Investors of Opportunity to Lead Securities Fraud Class Actions",legal-call,NO,0,evidance-event,Securities Fraud Lawsuits Filed,"Class action lawsuits have been filed against SoundHound AI, Bakkt Holdings, Everus Construction Group, and Viatris Inc., alleging misrepresentations and failures to disclose material information regarding their financial reporting, business operations, and prospects. These filings indicate potential significant issues for the named companies.","Law Offices of Howard G. Smith reminds investors that class action lawsuits have been filed on behalf of shareholders of the following publicly-traded companies.
The complaint alleges that throughout the Class Period the defendants made false and/or misleading statements and/or failed to disclose that: (1) the material weaknesses in SoundHound’s internal controls over financial reporting impaired the Company’s ability to effectively account for corporate acquisitions
The complaint alleges that throughout the Class Period the defendants: (1) misrepresented the stability and/or diversity of its crypto services revenue; (2) failed to disclose Bakkt’s Crypto services revenue was substantially dependent on a single contract with Webull
The complaint alleges that throughout the Class Period the defendants made false and/or misleading statements and/or failed to disclose that: (1) the Company’s backlog conversion cycle had become elongated due to larger, more complex projects
The complaint alleges that throughout the Class Period the defendants made false and/or misleading statements and/or failed to disclose that: (1) Viatris’ efforts to downplay the ramifications of the Indore facility’s failed FDA inspection fell short of reality",evidance-event,https://www.globenewswire.com/news-release/2025/04/29/3070856/3448/en/DEADLINE-ALERT-for-SOUN-BKKT-ECG-VTRS-Law-Offices-of-Howard-G-Smith-Reminds-Investors-of-Opportunity-to-Lead-Securities-Fraud-Class-Actions.html
1559,"WOLF Equity Alert: Kessler Topaz Meltzer & Check, LLP Alerts Shareholders of Securities Fraud Class Action Lawsuit Filed against Wolfspeed, Inc.",legal-event,YES,0,evidance-event,Securities fraud class action lawsuit filed,"A securities class action lawsuit has been filed against Wolfspeed, Inc. alleging that the company made false and misleading statements regarding its growth and demand for its products, potentially impacting its stock value.","The law firm of Kessler Topaz Meltzer & Check, LLP (www.ktmc.com) informs investors that a securities class action lawsuit has been filed in the United States District Court for the Northern District of New York against Wolfspeed, Inc. (“Wolfspeed”) (NYSE: WOLF) on behalf of those who purchased or otherwise acquired Wolfspeed securities between August 16, 2023, and November 6, 2024, inclusive (the “Class Period”).
The complaint alleges that, throughout the Class Period, Defendants made false and/or misleading statements and/or failed to disclose that: (1) Wolfspeed’s optimistic claims of potential growth of its Mohawk Valley fabrication facility and general demand for Wolfspeed’s 200mm wafers in the electronic vehicle market fell short of reality; and (2) Wolfspeed had overstated demand for its key product and placed undue reliance on purported design wins while the Mohawk Valley facility’s growth had begun to taper before recognizing the $100 million revenue per quarter allegedly achievable with only 20% utilization of the fabrication, let alone the promised $2 billion revenue purportedly achievable by the facility.",evidance-event,https://www.globenewswire.com/news-release/2024/12/22/3000971/0/en/WOLF-Equity-Alert-Kessler-Topaz-Meltzer-Check-LLP-Alerts-Shareholders-of-Securities-Fraud-Class-Action-Lawsuit-Filed-against-Wolfspeed-Inc.html
841,"IREN FINAL DEADLINE: ROSEN, A LEADING LAW FIRM, Encourages Iris Energy Limited Investors to Secure Counsel Before Important December 6 Deadline in Securities Class Action First Filed by the Firm – IREN",legal-call,NO,0,evidance-event,Securities Class Action Lawsuit Filed,"A securities class action lawsuit has been filed against Iris Energy Limited, alleging materially false and misleading statements regarding its business operations and prospects, specifically concerning its data center and high-performance computing ventures. Investors who purchased securities between June 20, 2023, and July 11, 2024, have a lead plaintiff deadline of December 6, 2024.","A class action lawsuit has already been filed.
According to the lawsuit, defendants throughout the Class Period made materially false and/or misleading statements and/or failed to disclose that: (1) defendants overstated Iris Energy’s prospects with data centers and high performance computing, in large part as a result of material deficiencies in Iris Energy’s Childress County, Texas site; and (2) as a result, defendants statements about its business, operations and prospects were materially false and misleading and/or lacked a reasonable basis at all relevant times.
If you wish to serve as lead plaintiff, you must move the Court no later than December 6, 2024.",evidance-event,https://www.globenewswire.com/news-release/2024/11/27/2988402/673/en/IREN-FINAL-DEADLINE-ROSEN-A-LEADING-LAW-FIRM-Encourages-Iris-Energy-Limited-Investors-to-Secure-Counsel-Before-Important-December-6-Deadline-in-Securities-Class-Action-First-Filed-.html
841,"IREN FINAL DEADLINE: ROSEN, A LEADING LAW FIRM, Encourages Iris Energy Limited Investors to Secure Counsel Before Important December 6 Deadline in Securities Class Action First Filed by the Firm – IREN",legal-call,NO,1,informative,Law Firm Encourages Investor Counsel,"Rosen Law Firm is encouraging purchasers of Iris Energy Limited securities to secure counsel before the December 6, 2024, deadline to potentially join a class action lawsuit. This is an announcement of a legal process and a call to action for investors.","WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of the securities of Iris Energy Limited (NASDAQ: IREN) between June 20, 2023 and July 11, 2024, both dates inclusive (the “Class Period”), of the important December 6, 2024 lead plaintiff deadline.",DROP,https://www.globenewswire.com/news-release/2024/11/27/2988402/673/en/IREN-FINAL-DEADLINE-ROSEN-A-LEADING-LAW-FIRM-Encourages-Iris-Energy-Limited-Investors-to-Secure-Counsel-Before-Important-December-6-Deadline-in-Securities-Class-Action-First-Filed-.html
1970,Lantronix Enables Development of a Powerful Military-Grade Gunshot Detection System at the Edge,marketing fluff,NO,0,informative,Gunshot detection system commercialization,"GWACS Defense, using Lantronix's SOM and engineering services, has adapted its military-grade gunshot detection system for commercial use in public spaces, aiming for accelerated time to market and scalability.","Lantronix Inc. (NASDAQ: LTRX), a global leader in IoT compute and connectivity IoT solutions, today announced its new case study featuring GWACS Defense Inc., a Tulsa, Okla.-based military defense contractor.
Delivering intelligence at the Edge, GWACS utilized Lantronix’s Open-Q™ 8250CS System on Module (SOM) based on Qualcomm® QCS8250 System-on-Chip (SoC) and Lantronix’s Engineering Services to adapt its military-grade gunshot and noise detection system for the commercial market.
Uses of the new Acoustic Event of Interest (AEI) platform include detection of active shooters in public spaces, such as schools, hospitals, construction sites and entertainment venues.",DROP,https://www.globenewswire.com/news-release/2025/01/07/3005208/0/en/Lantronix-Enables-Development-of-a-Powerful-Military-Grade-Gunshot-Detection-System-at-the-Edge.html
363,Multi-Tenant Data Centers Business Report 2024: Expansion of Colocation Services Fueling Market Expansion - Global Forecasts to 2030,marketing fluff,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2024/11/11/2978441/28124/en/Multi-Tenant-Data-Centers-Business-Report-2024-Expansion-of-Colocation-Services-Fueling-Market-Expansion-Global-Forecasts-to-2030.html
14896,"Automation COE Industry Research 2025 - Global Market Size, Share, Trends, Opportunities, and Forecasts, 2020-2024 & 2025-2030",marketing fluff,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2026/01/28/3227315/28124/en/Automation-COE-Industry-Research-2025-Global-Market-Size-Share-Trends-Opportunities-and-Forecasts-2020-2024-2025-2030.html
13013,Striim Releases Validata to Ensure Data Accuracy and Deliver Trusted AI,news-event,YES,0,informative,New product launch,"Striim announced the general availability of Validata, a new product designed to ensure data accuracy and reconciliation for enterprise AI and agentic systems, addressing challenges in data synchronization and trust.","Striim, a global leader in real-time data intelligence for enterprise AI, today announced Validata, a new product for data validation and reconciliation at scale.
Validata is now generally available.",informative,https://www.globenewswire.com/news-release/2025/12/10/3203411/0/en/Striim-Releases-Validata-to-Ensure-Data-Accuracy-and-Deliver-Trusted-AI.html
